name,year,rating,actors
Oldeuboi,2003,8.4,"Chan-wook Park (dir.), Min-sik Choi, Ji-tae Yu"
Aliens,1986,8.4,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
Witness for the Prosecution,1957,8.4,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
Once Upon a Time in America,1984,8.4,"Sergio Leone (dir.), Robert De Niro, James Woods"
Das Boot,1981,8.3,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
Dangal,2016,8.3,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
Citizen Kane,1941,8.3,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
Vertigo,1958,8.3,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
North by Northwest,1959,8.3,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
Braveheart,1995,8.3,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
Reservoir Dogs,1992,8.3,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
M,1931,8.3,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
Requiem for a Dream,2000,8.3,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
Amélie,2001,8.3,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
Taare Zameen Par,2007,8.3,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
Kimi no na wa.,2016,8.3,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
A Clockwork Orange,1971,8.3,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
Lawrence of Arabia,1962,8.3,"David Lean (dir.), Peter O'Toole, Alec Guinness"
Double Indemnity,1944,8.3,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
Amadeus,1984,8.3,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
Eternal Sunshine of the Spotless Mind,2004,8.3,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
Taxi Driver,1976,8.3,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
To Kill a Mockingbird,1962,8.3,"Robert Mulligan (dir.), Gregory Peck, John Megna"
